序号,发布日期,发布时间（页面时区）,视频标题,视频链接,视频ID
1,2026-07-10,12:33:52-07:00,BTC繼續反彈！雙重頂誘空？下週去更高？,https://www.youtube.com/watch?v=FPE8RNGlWZs,FPE8RNGlWZs
2,2026-07-09,10:59:42-07:00,BTC懸停中！向上或向下？流動性在哪……,https://www.youtube.com/watch?v=EO_UZj1r7ME,EO_UZj1r7ME
3,2026-07-08,12:31:19-07:00,BTC上漲遇阻！掉頭向下？目前在盤整區中間段！,https://www.youtube.com/watch?v=Fxkavpy-QtA,Fxkavpy-QtA
4,2026-07-07,11:45:47-07:00,BTC繼續上漲！資金費居高不下，馬上暴跌？,https://www.youtube.com/watch?v=qE_p2p7UKtQ,qE_p2p7UKtQ
5,2026-07-06,11:02:23-07:00,BTC反彈64K！MSTR出售比特幣？可能是利好！,https://www.youtube.com/watch?v=9XDnMnkS0Mc,9XDnMnkS0Mc
6,2026-07-03,11:40:33-07:00,BTC繼續反彈！毫無回調？資金費率也負了？漲去哪,https://www.youtube.com/watch?v=moMesCyb1HI,moMesCyb1HI
7,2026-07-02,11:58:43-07:00,BTC繼續反彈！真去68K？美股崩了，比特幣呢？,https://www.youtube.com/watch?v=o3R7fnrQTOw,o3R7fnrQTOw
8,2026-07-01,12:29:50-07:00,BTC跌到57700收回！重上60000！反彈開始了？漲去哪？,https://www.youtube.com/watch?v=1aDdkh3098M,1aDdkh3098M
9,2026-06-30,11:51:04-07:00,比特幣58000！不斷探底，不斷新低？深淵在召喚！,https://www.youtube.com/watch?v=XdDK8aBJpHQ,XdDK8aBJpHQ
10,2026-06-29,12:17:23-07:00,BTC守住60000？滿月上漲？跌不破，也漲不動！,https://www.youtube.com/watch?v=kf6klzcX6r8,kf6klzcX6r8
11,2026-06-26,10:37:14-07:00,BTC多次撐住！是否反彈？強勢，還是弱勢？,https://www.youtube.com/watch?v=TX8JGToqGTw,TX8JGToqGTw
12,2026-06-25,11:40:43-07:00,BTC跌到58000！之後又收回60000！是否有反彈？,https://www.youtube.com/watch?v=MItA2oVPLio,MItA2oVPLio
13,2026-06-24,12:10:55-07:00,BTC跌破60000！還能跌？直接去大底？,https://www.youtube.com/watch?v=V5qWreZycGc,V5qWreZycGc
14,2026-06-23,11:40:58-07:00,BTC盤整中！上下無序，耐心等待……,https://www.youtube.com/watch?v=rGv-nVbrQaM,rGv-nVbrQaM
15,2026-06-22,11:49:10-07:00,BTC重回65K！跌不動，只因流動性在68K？,https://www.youtube.com/watch?v=MOkpWKlQiN8,MOkpWKlQiN8
16,2026-06-19,11:19:41-07:00,BTC空頭陷阱？是否收回很關鍵！63600，多空臨界？,https://www.youtube.com/watch?v=VOcHXFcpnPU,VOcHXFcpnPU
17,2026-06-18,11:28:31-07:00,BTC急轉直下！反彈徹底結束了？追空一下？,https://www.youtube.com/watch?v=p8MYXV1-jDc,p8MYXV1-jDc
18,2026-06-17,10:54:16-07:00,BTC跌破65000收回！反彈還沒完？繼續漲去哪？,https://www.youtube.com/watch?v=XcA0GsUrCtM,XcA0GsUrCtM
19,2026-06-16,11:03:40-07:00,BTC反彈到頂了？下方有缺口！掉頭向下？！,https://www.youtube.com/watch?v=EUCXNBbu39E,EUCXNBbu39E
20,2026-06-15,10:55:52-07:00,BTC強勢反彈！漲到68000？之後呢？,https://www.youtube.com/watch?v=o0mRpYv2270,o0mRpYv2270
21,2026-06-12,11:16:12-07:00,BTC漲到目標位！反彈到64000，能再去68000嗎？什麼原理？,https://www.youtube.com/watch?v=Vo16zfQUrzU,Vo16zfQUrzU
22,2026-06-11,12:37:54-07:00,BTC果然反彈！？目標位多少？小反彈，還是大反轉？,https://www.youtube.com/watch?v=R157VRN2Vu8,R157VRN2Vu8
23,2026-06-10,11:30:19-07:00,BTC反彈太弱！繼續下跌？多空分界在POC這條線！,https://www.youtube.com/watch?v=LlyHbvGngjM,LlyHbvGngjM
24,2026-06-09,11:54:53-07:00,比特幣V反失敗？到底能不能反彈？做多，還是做空？,https://www.youtube.com/watch?v=T_Bhs3NwpPo,T_Bhs3NwpPo
25,2026-06-08,11:35:31-07:00,BTC跌破收回！反彈開始了？可能漲到哪？,https://www.youtube.com/watch?v=x_Pkx0pQKDY,x_Pkx0pQKDY
26,2026-06-05,12:34:28-07:00,比特幣59000！跌下六字頭，抄底嗎？ETH去三位數？,https://www.youtube.com/watch?v=PVhAyO1N1Y0,PVhAyO1N1Y0
27,2026-06-04,12:11:05-07:00,BTC跌到61000！抄底？資金去美股，完了？,https://www.youtube.com/watch?v=agLnW0V2ac0,agLnW0V2ac0
28,2026-06-03,11:35:39-07:00,BTC繼續暴跌！底究竟在哪？提前埋伏？,https://www.youtube.com/watch?v=cAIHj5OZeb8,cAIHj5OZeb8
29,2026-06-02,11:44:24-07:00,BTC崩盤暴跌！美股吸血？老實人賣幣？劇本早已寫好……,https://www.youtube.com/watch?v=MBWktWkJx5w,MBWktWkJx5w
30,2026-06-01,11:07:36-07:00,比特幣自由落體！只因Saylor賣幣？好事壞事？,https://www.youtube.com/watch?v=43AdDF3pGno,43AdDF3pGno
31,2026-05-29,12:04:23-07:00,BTC緩緩下跌！毫無強勢？繼續跌下去？,https://www.youtube.com/watch?v=6i0ovI1Cf5g,6i0ovI1Cf5g
32,2026-05-28,11:43:23-07:00,比特幣徹底跌破？回彈無力！可能跌到哪？,https://www.youtube.com/watch?v=67BgR9nyiEg,67BgR9nyiEg
33,2026-05-27,11:04:04-07:00,BTC順暢下跌！毫無反彈？撐不住將跌去哪？,https://www.youtube.com/watch?v=0CLi25W1mP8,0CLi25W1mP8
34,2026-05-26,12:04:36-07:00,BTC稍反彈就下跌！能否撐住？有沒有上漲C浪？,https://www.youtube.com/watch?v=2Jfk9PXLe58,2Jfk9PXLe58
35,2026-05-25,12:13:38-07:00,BTC跌破反彈！VAH撐住？獵殺多頭止損後，漲到哪？,https://www.youtube.com/watch?v=m01LHPdyqGA,m01LHPdyqGA
36,2026-05-22,11:11:13-07:00,BTC反彈無力！沒有加倉做空機會？繼續下行？,https://www.youtube.com/watch?v=7TC8SO_tlfU,7TC8SO_tlfU
37,2026-05-21,11:11:57-07:00,BTC緩緩反彈！這是要去哪？是反彈還是反轉？,https://www.youtube.com/watch?v=1WzfS11yTPA,1WzfS11yTPA
38,2026-05-20,10:49:06-07:00,BTC能反彈嗎？資金費悄悄漲起來了……,https://www.youtube.com/watch?v=DeBrIYy1X6E,DeBrIYy1X6E
39,2026-05-19,10:50:17-07:00,BTC無力緩跌！毫無反彈跡象？會有回抽嗎？,https://www.youtube.com/watch?v=Uh-LWUfF1DI,Uh-LWUfF1DI
40,2026-05-18,11:27:18-07:00,BTC假突破跌回！新一輪下跌開始？,https://www.youtube.com/watch?v=95_VU1yKirY,95_VU1yKirY
41,2026-05-15,11:14:04-07:00,BTC反復回踩！超弱勢！但只要沒跌下來，就不算走壞！,https://www.youtube.com/watch?v=yxmoYOXe0og,yxmoYOXe0og
42,2026-05-14,10:57:32-07:00,BTC殺多頭止損！迅速收回！這次漲去哪？,https://www.youtube.com/watch?v=npMN3RNmhLE,npMN3RNmhLE
43,2026-05-13,11:17:05-07:00,BTC跌破？果斷收回！頹勢盡顯？還是獵殺止損？,https://www.youtube.com/watch?v=wjBfAJUbWp0,wjBfAJUbWp0
44,2026-05-12,12:06:03-07:00,BTC突破後盤整！不漲也難跌？怎麼辦？,https://www.youtube.com/watch?v=JjB_Oiiq3xI,JjB_Oiiq3xI
45,2026-05-11,11:46:41-07:00,BTC獨自畫門！只要在這條線上方，仍然沒有頹勢！,https://www.youtube.com/watch?v=Z_RRD3pEzLg,Z_RRD3pEzLg
46,2026-05-08,11:22:10-07:00,BTC回踩企穩？能否撐住！？如何直接用USDT買美股？,https://www.youtube.com/watch?v=hQh6UFvlppc,hQh6UFvlppc
47,2026-05-07,11:06:24-07:00,BTC沖高回落！多空分界只在這一線？盤口異動！,https://www.youtube.com/watch?v=oVILXasIqLc,oVILXasIqLc
48,2026-05-06,10:59:29-07:00,BTC仍上漲！但幅度越來越小？空頭投降，燃料減少？,https://www.youtube.com/watch?v=_dBS03-mcjg,_dBS03-mcjg
49,2026-05-05,10:45:09-07:00,BTC突破未跌回！只要資金費率這樣，不太可能跌！,https://www.youtube.com/watch?v=gSSey0TJlNc,gSSey0TJlNc
50,2026-05-04,11:54:48-07:00,BTC上80000！是否站穩？這條線守住！,https://www.youtube.com/watch?v=n_uTFFwHkco,n_uTFFwHkco
51,2026-05-01,11:36:46-07:00,BTC繼續上攻！看漲背離後的量增價漲！前高要破？,https://www.youtube.com/watch?v=R0OYO61RqRQ,R0OYO61RqRQ
52,2026-04-30,11:11:05-07:00,BTC跌不下去？小級別看漲背離！磨你脾氣呢……,https://www.youtube.com/watch?v=5yc4hREw6rE,5yc4hREw6rE
53,2026-04-29,11:09:52-07:00,BTC迅速下跌！回天乏力？不能反彈更高了？,https://www.youtube.com/watch?v=i0SzA-XrM2w,i0SzA-XrM2w
54,2026-04-28,10:55:42-07:00,比特幣下跌開啟！？可以做空了嗎？隱患是什麼？,https://www.youtube.com/watch?v=pvld-uOdcp8,pvld-uOdcp8
55,2026-04-27,11:35:44-07:00,BTC開盤就看跌吞沒？要開始跌了嗎？比特幣周線分析！,https://www.youtube.com/watch?v=AdPaJApYiB8,AdPaJApYiB8
56,2026-04-24,11:20:37-07:00,BTC臨近缺口！上去補足？期貨缺口，摸一下就走？,https://www.youtube.com/watch?v=cv0EVpGDlQQ,cv0EVpGDlQQ
57,2026-04-23,11:46:41-07:00,BTC還要漲？缺口大概率去補！資金費依然低，切忌較勁式做空！,https://www.youtube.com/watch?v=ksFOszvg78s,ksFOszvg78s
58,2026-04-22,12:05:14-07:00,BTC前高突破！資金費暴負，不能跌！期貨缺口到了？,https://www.youtube.com/watch?v=L3J9SESTXBg,L3J9SESTXBg
59,2026-04-21,11:39:30-07:00,BTC假突破後回抽！跌不下去？事出有妖！,https://www.youtube.com/watch?v=ZEWfZlejhQ4,ZEWfZlejhQ4
60,2026-04-20,12:19:37-07:00,BTC跌不下去？空頭太多！小心上攻！到底怎麼做？,https://www.youtube.com/watch?v=HSNOLgfcKYQ,HSNOLgfcKYQ
61,2026-04-17,11:48:29-07:00,比特幣78000！前高突破！不跌回，則毫無頹勢！,https://www.youtube.com/watch?v=4ocT0NjkDuE,4ocT0NjkDuE
62,2026-04-16,11:06:15-07:00,比特幣仍將突破？蓄勢待發中！變盤倒計時……！,https://www.youtube.com/watch?v=dafPEQv0abY,dafPEQv0abY
63,2026-04-15,11:41:08-07:00,比特幣蓄勢上攻？資金費仍極負！獵殺空頭止損……,https://www.youtube.com/watch?v=UkJjdbSrOrE,UkJjdbSrOrE
64,2026-04-14,11:30:57-07:00,BTC還能漲！？但也要小心變盤……高處不勝寒！,https://www.youtube.com/watch?v=mV0Z1WBwfeA,mV0Z1WBwfeA
65,2026-04-13,12:24:10-07:00,BTC資金費極負！小心爆空！未必跌得動……,https://www.youtube.com/watch?v=ajhTv8seHuw,ajhTv8seHuw
66,2026-04-10,12:48:47-07:00,小心扎空！BTC繼續突破？極負費率，很難跌！,https://www.youtube.com/watch?v=gkmZO3pgO98,gkmZO3pgO98
67,2026-04-09,12:00:41-07:00,BTC多空一線？這一帶是關鍵！值得留意！,https://www.youtube.com/watch?v=I05CjZyNvJ8,I05CjZyNvJ8
68,2026-04-08,11:46:12-07:00,BTC彈上72000！真假突破？大行情來了……嗎？,https://www.youtube.com/watch?v=AKAl915T8-Q,AKAl915T8-Q
69,2026-04-07,11:53:48-07:00,BTC蓄勢突破？等一個大行情！小級別先漲再跌？,https://www.youtube.com/watch?v=3zRLb_s4tM8,3zRLb_s4tM8
70,2026-04-06,12:09:02-07:00,比特幣滿月上漲！都在做空？可能去這裡！,https://www.youtube.com/watch?v=od8VlKNZd94,od8VlKNZd94
71,2026-04-03,12:14:43-07:00,比特幣極致盤整！下週出方向？閒來無事聊聊 AI ！,https://www.youtube.com/watch?v=q6voube7qec,q6voube7qec
72,2026-04-02,12:32:17-07:00,比特幣無序盤整！除非到這……，絕不動手！,https://www.youtube.com/watch?v=fI6HZK3dwVU,fI6HZK3dwVU
73,2026-04-01,12:40:13-07:00,BTC站回趨勢線！滿月漲到哪？做空再等等？,https://www.youtube.com/watch?v=toI3LIxJ4OE,toI3LIxJ4OE
74,2026-03-31,12:26:42-07:00,BTC多空糾纏！耐心等這個交易機會……,https://www.youtube.com/watch?v=m9uGV8eSaec,m9uGV8eSaec
75,2026-03-30,11:53:14-07:00,BTC跌破趨勢線！大級別看跌？若站回前低，反彈到哪？,https://www.youtube.com/watch?v=Frbn8868n0E,Frbn8868n0E
76,2026-03-27,12:52:58-07:00,比特幣跌破趨勢線！新下跌的開始？是否能反轉？,https://www.youtube.com/watch?v=phFD3nAAWDI,phFD3nAAWDI
77,2026-03-26,12:27:04-07:00,BTC假突破偷跑！即將真跌破？留意這條線！上次……,https://www.youtube.com/watch?v=XSCdXCX4mbY,XSCdXCX4mbY
78,2026-03-25,11:51:14-07:00,BTC掉頭向下！獵殺止損成功？不去更高了？！,https://www.youtube.com/watch?v=nrZEzsQpsbA,nrZEzsQpsbA
79,2026-03-24,12:55:08-07:00,BTC這就反彈完了？馬上就下跌？這缺口還來嗎？！,https://www.youtube.com/watch?v=ufXZvBniw70,ufXZvBniw70
80,2026-03-23,11:17:45-07:00,比特幣V反！美伊戰爭和談？做多或做空？,https://www.youtube.com/watch?v=CkD7f5l1qmM,CkD7f5l1qmM
81,2026-03-20,11:16:24-07:00,BTC反彈超弱！大概率跌到這？,https://www.youtube.com/watch?v=NQsgh8A3ons,NQsgh8A3ons
